ID,Oil_Type,Surfactant_Type,Required_HLB,Oil_MW,Surf_HLB,Surf_MW,Smix_Ratio,System_HLB,PDI,Stability_Target,Drug_Name,Drug_Loading_mg_mL,EE_Percent
NE_0223,Castor Oil,Labrasol,14.0,933.4,12.0,450,2,9.67,0.29,0,Paclitaxel,4.93,70.42
NE_0224,Oleic Acid,Labrasol,17.0,282.5,12.0,450,2,9.67,0.271,0,Curcumin,11.44,80.96
NE_0225,Capryol 90,Labrasol,11.5,172.2,12.0,450,1,8.5,0.436,0,Celecoxib,203.61,72.69
NE_0226,Oleic Acid,Cremophor EL,17.0,282.5,13.5,2500,3,11.38,0.297,0,Curcumin,16.57,80.07
NE_0227,Castor Oil,Tween 20,14.0,933.4,16.7,1227,3,13.77,0.14,1,Paclitaxel,5.86,97.43
NE_0228,Miglyol 812,Tween 80,15.0,520.0,15.0,1310,3,12.5,0.385,0,Ibuprofen,51.5,77.05
NE_0229,Capryol 90,Cremophor EL,11.5,172.2,13.5,2500,3,11.38,0.164,1,Celecoxib,136.19,93.5
NE_0230,Oleic Acid,Labrasol,17.0,282.5,12.0,450,2,9.67,0.421,0,Curcumin,10.64,88.05
NE_0231,Castor Oil,Tween 20,14.0,933.4,16.7,1227,3,13.77,0.399,0,Paclitaxel,3.85,75.27
NE_0232,Miglyol 812,Tween 20,15.0,520.0,16.7,1227,3,13.77,0.299,1,Ibuprofen,45.0,95.9
NE_0233,Miglyol 812,Tween 80,15.0,520.0,15.0,1310,2,11.67,0.147,0,Ibuprofen,32.33,73.37
NE_0234,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500,1,9.25,0.113,0,Ibuprofen,39.14,81.71
NE_0235,Castor Oil,Labrasol,14.0,933.4,12.0,450,2,9.67,0.128,0,Paclitaxel,4.33,82.3
NE_0236,Capryol 90,Labrasol,11.5,172.2,12.0,450,2,9.67,0.164,1,Celecoxib,158.96,94.0
NE_0237,Miglyol 812,Tween 80,15.0,520.0,15.0,1310,1,10.0,0.376,0,Ibuprofen,44.09,83.16
NE_0238,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500,3,11.38,0.178,0,Ibuprofen,47.33,79.96
NE_0239,Castor Oil,Cremophor EL,14.0,933.4,13.5,2500,3,11.38,0.372,0,Paclitaxel,4.69,82.97
NE_0240,Capryol 90,Labrasol,11.5,172.2,12.0,450,3,10.25,0.336,0,Celecoxib,166.87,73.64
NE_0241,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500,1,9.25,0.276,0,Ibuprofen,39.89,84.4
NE_0242,Oleic Acid,Cremophor EL,17.0,282.5,13.5,2500,1,9.25,0.153,0,Curcumin,16.31,88.47
NE_0243,Miglyol 812,Tween 20,15.0,520.0,16.7,1227,1,10.85,0.448,0,Ibuprofen,38.14,85.09
NE_0244,Castor Oil,Labrasol,14.0,933.4,12.0,450,1,8.5,0.12,0,Paclitaxel,5.77,83.02
NE_0245,Capryol 90,Tween 20,11.5,172.2,16.7,1227,2,12.8,0.122,1,Celecoxib,206.27,94.38
NE_0246,Capryol 90,Labrasol,11.5,172.2,12.0,450,3,10.25,0.372,0,Celecoxib,157.42,85.29
NE_0247,Castor Oil,Labrasol,14.0,933.4,12.0,450,3,10.25,0.322,0,Paclitaxel,2.01,76.2
NE_0248,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500,1,9.25,0.178,0,Ibuprofen,41.49,86.68
NE_0249,Capryol 90,Labrasol,11.5,172.2,12.0,450,1,8.5,0.118,0,Celecoxib,196.33,74.42
NE_0250,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500,1,9.25,0.104,0,Ibuprofen,52.86,76.01
NE_0251,Castor Oil,Labrasol,14.0,933.4,12.0,450,2,9.67,0.142,0,Paclitaxel,2.36,77.3
NE_0252,Capryol 90,Cremophor EL,11.5,172.2,13.5,2500,1,9.25,0.149,1,Celecoxib,165.41,97.05
NE_0253,Capryol 90,Tween 80,11.5,172.2,15.0,1310,1,10.0,0.256,1,Celecoxib,199.66,98.16
NE_0254,Oleic Acid,Tween 80,17.0,282.5,15.0,1310,1,10.0,0.258,0,Curcumin,12.19,88.36
NE_0255,Castor Oil,Labrasol,14.0,933.4,12.0,450,2,9.67,0.337,0,Paclitaxel,2.52,75.49
NE_0256,Miglyol 812,Tween 20,15.0,520.0,16.7,1227,3,13.77,0.351,0,Ibuprofen,41.33,87.62
NE_0257,Miglyol 812,Tween 20,15.0,520.0,16.7,1227,3,13.77,0.332,0,Ibuprofen,41.28,77.71
NE_0258,Miglyol 812,Tween 20,15.0,520.0,16.7,1227,2,12.8,0.324,0,Ibuprofen,47.75,76.95
NE_0259,Capryol 90,Tween 20,11.5,172.2,16.7,1227,2,12.8,0.188,1,Celecoxib,163.25,95.42
NE_0260,Capryol 90,Labrasol,11.5,172.2,12.0,450,1,8.5,0.39,0,Celecoxib,160.83,87.75
NE_0261,Oleic Acid,Tween 20,17.0,282.5,16.7,1227,3,13.77,0.337,0,Curcumin,15.69,78.06
NE_0262,Capryol 90,Tween 20,11.5,172.2,16.7,1227,3,13.77,0.321,0,Celecoxib,166.46,81.15
NE_0263,Oleic Acid,Tween 20,17.0,282.5,16.7,1227,2,12.8,0.272,0,Curcumin,15.11,80.94
NE_0264,Capryol 90,Labrasol,11.5,172.2,12.0,450,3,10.25,0.213,1,Celecoxib,208.7,94.38
NE_0265,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500,3,11.38,0.324,0,Ibuprofen,46.33,74.61
NE_0266,Capryol 90,Tween 20,11.5,172.2,16.7,1227,3,13.77,0.428,0,Celecoxib,206.63,80.61
NE_0267,Castor Oil,Cremophor EL,14.0,933.4,13.5,2500,3,11.38,0.426,0,Paclitaxel,5.07,84.64
NE_0268,Castor Oil,Tween 80,14.0,933.4,15.0,1310,2,11.67,0.277,1,Paclitaxel,3.5,94.79
NE_0269,Oleic Acid,Cremophor EL,17.0,282.5,13.5,2500,1,9.25,0.234,0,Curcumin,10.43,80.16
NE_0270,Castor Oil,Cremophor EL,14.0,933.4,13.5,2500,3,11.38,0.198,0,Paclitaxel,4.07,71.83
NE_0271,Oleic Acid,Labrasol,17.0,282.5,12.0,450,3,10.25,0.245,0,Curcumin,11.79,83.75
NE_0272,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500,2,10.67,0.245,0,Ibuprofen,40.53,70.25
NE_0273,Oleic Acid,Tween 20,17.0,282.5,16.7,1227,2,12.8,0.157,0,Curcumin,16.88,72.44
NE_0274,Oleic Acid,Labrasol,17.0,282.5,12.0,450,2,9.67,0.276,0,Curcumin,8.87,73.72
NE_0275,Castor Oil,Cremophor EL,14.0,933.4,13.5,2500,2,10.67,0.301,0,Paclitaxel,2.16,82.74
NE_0276,Castor Oil,Cremophor EL,14.0,933.4,13.5,2500,1,9.25,0.353,0,Paclitaxel,4.26,79.92
NE_0277,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500,1,9.25,0.272,0,Ibuprofen,32.79,71.45
NE_0278,Castor Oil,Labrasol,14.0,933.4,12.0,450,2,9.67,0.231,0,Paclitaxel,5.76,71.4
NE_0279,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500,2,10.67,0.201,0,Ibuprofen,30.59,81.44
NE_0280,Miglyol 812,Tween 20,15.0,520.0,16.7,1227,3,13.77,0.131,1,Ibuprofen,32.12,96.39
NE_0281,Oleic Acid,Cremophor EL,17.0,282.5,13.5,2500,1,9.25,0.143,0,Curcumin,8.26,70.26
NE_0282,Capryol 90,Tween 80,11.5,172.2,15.0,1310,2,11.67,0.248,1,Celecoxib,187.97,96.88
NE_0283,Miglyol 812,Tween 80,15.0,520.0,15.0,1310,2,11.67,0.253,0,Ibuprofen,44.12,77.82
NE_0284,Capryol 90,Tween 80,11.5,172.2,15.0,1310,3,12.5,0.233,1,Celecoxib,142.89,94.87
NE_0285,Miglyol 812,Labrasol,15.0,520.0,12.0,450,3,10.25,0.313,0,Ibuprofen,35.77,79.85
NE_0286,Capryol 90,Tween 80,11.5,172.2,15.0,1310,1,10.0,0.429,0,Celecoxib,148.91,74.28
NE_0287,Castor Oil,Labrasol,14.0,933.4,12.0,450,2,9.67,0.178,0,Paclitaxel,4.08,70.92
NE_0288,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500,3,11.38,0.307,0,Ibuprofen,46.78,81.76
NE_0289,Miglyol 812,Tween 80,15.0,520.0,15.0,1310,1,10.0,0.268,0,Ibuprofen,31.53,87.35
NE_0290,Miglyol 812,Labrasol,15.0,520.0,12.0,450,2,9.67,0.27,0,Ibuprofen,35.88,84.94
NE_0291,Capryol 90,Tween 80,11.5,172.2,15.0,1310,1,10.0,0.193,1,Celecoxib,129.46,96.73
NE_0292,Miglyol 812,Labrasol,15.0,520.0,12.0,450,1,8.5,0.432,0,Ibuprofen,39.78,80.1
NE_0293,Capryol 90,Tween 80,11.5,172.2,15.0,1310,3,12.5,0.39,0,Celecoxib,123.95,78.69
NE_0294,Oleic Acid,Cremophor EL,17.0,282.5,13.5,2500,1,9.25,0.364,0,Curcumin,14.67,85.33
NE_0295,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500,2,10.67,0.349,0,Ibuprofen,40.87,78.99
NE_0296,Oleic Acid,Cremophor EL,17.0,282.5,13.5,2500,3,11.38,0.16,0,Curcumin,16.37,86.17
NE_0297,Oleic Acid,Labrasol,17.0,282.5,12.0,450,3,10.25,0.254,0,Curcumin,8.35,80.99
NE_0298,Oleic Acid,Labrasol,17.0,282.5,12.0,450,1,8.5,0.259,0,Curcumin,15.11,75.0
NE_0299,Castor Oil,Tween 20,14.0,933.4,16.7,1227,1,10.85,0.318,0,Paclitaxel,2.27,72.13
NE_0300,Oleic Acid,Tween 20,17.0,282.5,16.7,1227,2,12.8,0.168,0,Curcumin,15.4,78.71
NE_0301,Castor Oil,Tween 20,14.0,933.4,16.7,1227,3,13.77,0.336,0,Paclitaxel,5.16,79.1
NE_0302,Capryol 90,Tween 20,11.5,172.2,16.7,1227,3,13.77,0.309,0,Celecoxib,145.34,74.24
NE_0303,Oleic Acid,Labrasol,17.0,282.5,12.0,450,2,9.67,0.153,0,Curcumin,8.9,87.18
NE_0304,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500,3,11.38,0.235,0,Ibuprofen,43.98,81.68
NE_0305,Capryol 90,Labrasol,11.5,172.2,12.0,450,1,8.5,0.281,0,Celecoxib,185.69,72.33
NE_0306,Castor Oil,Labrasol,14.0,933.4,12.0,450,1,8.5,0.416,0,Paclitaxel,2.37,84.1
NE_0307,Capryol 90,Tween 80,11.5,172.2,15.0,1310,3,12.5,0.181,1,Celecoxib,175.48,95.0
NE_0308,Miglyol 812,Tween 80,15.0,520.0,15.0,1310,3,12.5,0.375,0,Ibuprofen,41.97,70.74
NE_0309,Capryol 90,Tween 80,11.5,172.2,15.0,1310,1,10.0,0.378,0,Celecoxib,169.99,80.61
NE_0310,Castor Oil,Cremophor EL,14.0,933.4,13.5,2500,2,10.67,0.273,0,Paclitaxel,4.0,75.63
NE_0311,Castor Oil,Tween 80,14.0,933.4,15.0,1310,1,10.0,0.167,0,Paclitaxel,3.14,70.34
NE_0312,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500,1,9.25,0.263,0,Ibuprofen,49.46,77.58
NE_0313,Capryol 90,Cremophor EL,11.5,172.2,13.5,2500,2,10.67,0.153,1,Celecoxib,178.29,93.65
NE_0314,Oleic Acid,Tween 20,17.0,282.5,16.7,1227,1,10.85,0.251,0,Curcumin,10.7,86.1
NE_0315,Oleic Acid,Tween 20,17.0,282.5,16.7,1227,3,13.77,0.174,0,Curcumin,17.78,86.52
NE_0316,Capryol 90,Labrasol,11.5,172.2,12.0,450,1,8.5,0.284,0,Celecoxib,153.31,77.47
NE_0317,Miglyol 812,Tween 20,15.0,520.0,16.7,1227,3,13.77,0.225,1,Ibuprofen,44.95,97.82
NE_0318,Oleic Acid,Tween 20,17.0,282.5,16.7,1227,1,10.85,0.137,0,Curcumin,10.4,73.6
NE_0319,Castor Oil,Tween 80,14.0,933.4,15.0,1310,3,12.5,0.45,0,Paclitaxel,5.91,88.35
NE_0320,Castor Oil,Labrasol,14.0,933.4,12.0,450,3,10.25,0.108,0,Paclitaxel,6.04,71.05
NE_0321,Miglyol 812,Tween 80,15.0,520.0,15.0,1310,3,12.5,0.201,0,Ibuprofen,41.03,82.95
NE_0322,Oleic Acid,Tween 20,17.0,282.5,16.7,1227,3,13.77,0.23,0,Curcumin,16.19,85.66
NE_0323,Castor Oil,Labrasol,14.0,933.4,12.0,450,1,8.5,0.158,0,Paclitaxel,4.82,74.18
NE_0324,Castor Oil,Tween 20,14.0,933.4,16.7,1227,3,13.77,0.373,0,Paclitaxel,5.87,72.51
NE_0325,Oleic Acid,Tween 80,17.0,282.5,15.0,1310,3,12.5,0.406,0,Curcumin,16.71,84.12
NE_0326,Oleic Acid,Tween 80,17.0,282.5,15.0,1310,3,12.5,0.245,0,Curcumin,17.66,83.77
NE_0327,Castor Oil,Cremophor EL,14.0,933.4,13.5,2500,3,11.38,0.359,0,Paclitaxel,3.52,73.25
NE_0328,Miglyol 812,Tween 20,15.0,520.0,16.7,1227,1,10.85,0.141,0,Ibuprofen,32.82,75.83
NE_0329,Castor Oil,Tween 20,14.0,933.4,16.7,1227,3,13.77,0.361,0,Paclitaxel,4.3,72.03
NE_0330,Castor Oil,Labrasol,14.0,933.4,12.0,450,3,10.25,0.292,0,Paclitaxel,4.96,81.3
NE_0331,Miglyol 812,Labrasol,15.0,520.0,12.0,450,1,8.5,0.308,0,Ibuprofen,36.1,75.96
NE_0332,Castor Oil,Tween 20,14.0,933.4,16.7,1227,2,12.8,0.173,1,Paclitaxel,5.53,97.1
NE_0333,Miglyol 812,Tween 80,15.0,520.0,15.0,1310,1,10.0,0.39,0,Ibuprofen,49.05,70.19
NE_0334,Castor Oil,Tween 20,14.0,933.4,16.7,1227,1,10.85,0.33,0,Paclitaxel,3.89,84.56
NE_0335,Miglyol 812,Labrasol,15.0,520.0,12.0,450,1,8.5,0.25,0,Ibuprofen,40.35,70.71
NE_0336,Oleic Acid,Tween 20,17.0,282.5,16.7,1227,1,10.85,0.344,0,Curcumin,9.27,75.6
NE_0337,Miglyol 812,Labrasol,15.0,520.0,12.0,450,3,10.25,0.4,0,Ibuprofen,31.79,77.61
NE_0338,Castor Oil,Labrasol,14.0,933.4,12.0,450,3,10.25,0.38,0,Paclitaxel,3.28,86.44
NE_0339,Capryol 90,Labrasol,11.5,172.2,12.0,450,2,9.67,0.231,1,Celecoxib,168.42,94.71
NE_0340,Castor Oil,Cremophor EL,14.0,933.4,13.5,2500,1,9.25,0.349,0,Paclitaxel,3.32,76.83
NE_0341,Castor Oil,Tween 20,14.0,933.4,16.7,1227,2,12.8,0.296,1,Paclitaxel,6.19,92.54
NE_0342,Oleic Acid,Labrasol,17.0,282.5,12.0,450,3,10.25,0.424,0,Curcumin,13.84,80.83
NE_0343,Capryol 90,Tween 80,11.5,172.2,15.0,1310,1,10.0,0.442,0,Celecoxib,178.54,72.68
NE_0344,Castor Oil,Tween 20,14.0,933.4,16.7,1227,1,10.85,0.446,0,Paclitaxel,5.81,75.26
NE_0345,Miglyol 812,Tween 20,15.0,520.0,16.7,1227,1,10.85,0.28,0,Ibuprofen,41.75,88.25
NE_0346,Castor Oil,Cremophor EL,14.0,933.4,13.5,2500,3,11.38,0.181,0,Paclitaxel,5.19,84.75
NE_0347,Capryol 90,Labrasol,11.5,172.2,12.0,450,2,9.67,0.151,1,Celecoxib,151.1,96.56
NE_0348,Miglyol 812,Labrasol,15.0,520.0,12.0,450,2,9.67,0.237,0,Ibuprofen,39.98,86.06
NE_0349,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500,3,11.38,0.23,0,Ibuprofen,52.79,72.72
NE_0350,Castor Oil,Cremophor EL,14.0,933.4,13.5,2500,3,11.38,0.182,0,Paclitaxel,6.39,71.06
NE_0351,Oleic Acid,Tween 80,17.0,282.5,15.0,1310,2,11.67,0.377,0,Curcumin,11.23,82.73
NE_0352,Oleic Acid,Tween 20,17.0,282.5,16.7,1227,3,13.77,0.21,0,Curcumin,16.25,74.78
NE_0353,Capryol 90,Tween 80,11.5,172.2,15.0,1310,2,11.67,0.237,1,Celecoxib,205.55,96.0
NE_0354,Oleic Acid,Labrasol,17.0,282.5,12.0,450,2,9.67,0.296,0,Curcumin,13.91,84.09
NE_0355,Oleic Acid,Tween 20,17.0,282.5,16.7,1227,2,12.8,0.31,0,Curcumin,16.0,86.12
NE_0356,Castor Oil,Labrasol,14.0,933.4,12.0,450,1,8.5,0.424,0,Paclitaxel,2.58,83.8
NE_0357,Castor Oil,Cremophor EL,14.0,933.4,13.5,2500,3,11.38,0.411,0,Paclitaxel,3.53,86.0
NE_0358,Capryol 90,Tween 80,11.5,172.2,15.0,1310,3,12.5,0.146,1,Celecoxib,204.15,94.66
NE_0359,Oleic Acid,Labrasol,17.0,282.5,12.0,450,2,9.67,0.218,0,Curcumin,16.94,82.0
NE_0360,Capryol 90,Tween 80,11.5,172.2,15.0,1310,1,10.0,0.108,1,Celecoxib,162.13,92.77
NE_0361,Oleic Acid,Tween 80,17.0,282.5,15.0,1310,2,11.67,0.212,0,Curcumin,12.33,76.23
NE_0362,Castor Oil,Labrasol,14.0,933.4,12.0,450,1,8.5,0.127,0,Paclitaxel,3.76,81.87
NE_0363,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500,3,11.38,0.317,0,Ibuprofen,51.41,80.56
NE_0364,Capryol 90,Tween 80,11.5,172.2,15.0,1310,2,11.67,0.143,1,Celecoxib,160.11,93.39
NE_0365,Oleic Acid,Tween 20,17.0,282.5,16.7,1227,3,13.77,0.288,0,Curcumin,15.63,74.72
NE_0366,Oleic Acid,Cremophor EL,17.0,282.5,13.5,2500,2,10.67,0.221,0,Curcumin,11.73,78.14
NE_0367,Castor Oil,Tween 80,14.0,933.4,15.0,1310,3,12.5,0.354,0,Paclitaxel,4.8,85.13
NE_0368,Capryol 90,Labrasol,11.5,172.2,12.0,450,2,9.67,0.27,1,Celecoxib,132.12,98.52
NE_0369,Castor Oil,Cremophor EL,14.0,933.4,13.5,2500,1,9.25,0.255,0,Paclitaxel,4.51,81.26
NE_0370,Castor Oil,Tween 20,14.0,933.4,16.7,1227,3,13.77,0.184,1,Paclitaxel,4.01,97.77
NE_0371,Castor Oil,Labrasol,14.0,933.4,12.0,450,1,8.5,0.438,0,Paclitaxel,3.72,86.97
NE_0372,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500,1,9.25,0.41,0,Ibuprofen,48.76,73.6
NE_0373,Oleic Acid,Tween 20,17.0,282.5,16.7,1227,1,10.85,0.345,0,Curcumin,9.1,83.0
NE_0374,Miglyol 812,Tween 20,15.0,520.0,16.7,1227,1,10.85,0.231,0,Ibuprofen,36.04,79.73
NE_0375,Castor Oil,Cremophor EL,14.0,933.4,13.5,2500,3,11.38,0.403,0,Paclitaxel,2.94,80.42
NE_0376,Castor Oil,Tween 80,14.0,933.4,15.0,1310,2,11.67,0.394,0,Paclitaxel,4.34,87.91
NE_0377,Capryol 90,Labrasol,11.5,172.2,12.0,450,1,8.5,0.156,0,Celecoxib,192.22,75.62
NE_0378,Miglyol 812,Tween 80,15.0,520.0,15.0,1310,1,10.0,0.195,0,Ibuprofen,36.91,84.03
NE_0379,Castor Oil,Tween 20,14.0,933.4,16.7,1227,1,10.85,0.123,0,Paclitaxel,4.54,87.17
NE_0380,Miglyol 812,Tween 80,15.0,520.0,15.0,1310,2,11.67,0.25,0,Ibuprofen,50.01,87.98
NE_0381,Miglyol 812,Labrasol,15.0,520.0,12.0,450,2,9.67,0.285,0,Ibuprofen,32.08,71.71
NE_0382,Oleic Acid,Cremophor EL,17.0,282.5,13.5,2500,1,9.25,0.118,0,Curcumin,12.58,77.56
NE_0383,Miglyol 812,Labrasol,15.0,520.0,12.0,450,1,8.5,0.449,0,Ibuprofen,51.26,71.85
NE_0384,Miglyol 812,Tween 20,15.0,520.0,16.7,1227,2,12.8,0.313,0,Ibuprofen,51.01,72.83
NE_0385,Oleic Acid,Tween 20,17.0,282.5,16.7,1227,2,12.8,0.125,0,Curcumin,9.62,82.49
NE_0386,Oleic Acid,Tween 20,17.0,282.5,16.7,1227,2,12.8,0.212,0,Curcumin,13.48,88.45
NE_0387,Castor Oil,Cremophor EL,14.0,933.4,13.5,2500,1,9.25,0.387,0,Paclitaxel,6.36,83.61
NE_0388,Capryol 90,Labrasol,11.5,172.2,12.0,450,1,8.5,0.251,0,Celecoxib,188.08,77.55
NE_0389,Miglyol 812,Tween 80,15.0,520.0,15.0,1310,3,12.5,0.218,0,Ibuprofen,46.3,84.17
NE_0390,Oleic Acid,Tween 20,17.0,282.5,16.7,1227,1,10.85,0.21,0,Curcumin,12.96,82.59
NE_0391,Castor Oil,Cremophor EL,14.0,933.4,13.5,2500,2,10.67,0.332,0,Paclitaxel,5.18,82.24
NE_0392,Miglyol 812,Tween 80,15.0,520.0,15.0,1310,1,10.0,0.215,0,Ibuprofen,30.92,74.38
NE_0393,Castor Oil,Tween 20,14.0,933.4,16.7,1227,1,10.85,0.261,0,Paclitaxel,6.34,82.71
NE_0394,Capryol 90,Cremophor EL,11.5,172.2,13.5,2500,2,10.67,0.392,0,Celecoxib,188.52,71.09
NE_0395,Capryol 90,Labrasol,11.5,172.2,12.0,450,1,8.5,0.163,0,Celecoxib,188.96,86.94
NE_0396,Castor Oil,Cremophor EL,14.0,933.4,13.5,2500,3,11.38,0.227,0,Paclitaxel,3.43,70.34
NE_0397,Capryol 90,Tween 80,11.5,172.2,15.0,1310,2,11.67,0.403,0,Celecoxib,184.75,87.72
NE_0398,Miglyol 812,Tween 20,15.0,520.0,16.7,1227,1,10.85,0.118,0,Ibuprofen,46.92,74.25
NE_0399,Oleic Acid,Labrasol,17.0,282.5,12.0,450,1,8.5,0.437,0,Curcumin,12.11,73.13
NE_0400,Castor Oil,Labrasol,14.0,933.4,12.0,450,1,8.5,0.358,0,Paclitaxel,4.73,86.51
NE_0401,Miglyol 812,Tween 20,15.0,520.0,16.7,1227,2,12.8,0.366,0,Ibuprofen,42.56,70.38
NE_0402,Oleic Acid,Tween 80,17.0,282.5,15.0,1310,1,10.0,0.236,0,Curcumin,14.86,82.74
NE_0403,Capryol 90,Cremophor EL,11.5,172.2,13.5,2500,2,10.67,0.425,0,Celecoxib,183.34,70.36
NE_0404,Miglyol 812,Tween 80,15.0,520.0,15.0,1310,2,11.67,0.263,0,Ibuprofen,31.7,82.22
NE_0405,Oleic Acid,Cremophor EL,17.0,282.5,13.5,2500,2,10.67,0.402,0,Curcumin,10.83,82.34
NE_0406,Oleic Acid,Tween 80,17.0,282.5,15.0,1310,3,12.5,0.158,0,Curcumin,13.31,71.82
NE_0407,Miglyol 812,Labrasol,15.0,520.0,12.0,450,2,9.67,0.296,0,Ibuprofen,42.51,82.88
NE_0408,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500,3,11.38,0.172,0,Ibuprofen,53.86,87.76
NE_0409,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500,3,11.38,0.189,0,Ibuprofen,52.03,73.69
NE_0410,Capryol 90,Labrasol,11.5,172.2,12.0,450,2,9.67,0.211,1,Celecoxib,148.67,96.61
NE_0411,Capryol 90,Tween 80,11.5,172.2,15.0,1310,1,10.0,0.418,0,Celecoxib,122.17,78.29
NE_0412,Miglyol 812,Labrasol,15.0,520.0,12.0,450,3,10.25,0.367,0,Ibuprofen,40.78,77.66
NE_0413,Capryol 90,Tween 80,11.5,172.2,15.0,1310,3,12.5,0.241,1,Celecoxib,207.9,92.49
NE_0414,Oleic Acid,Cremophor EL,17.0,282.5,13.5,2500,1,9.25,0.356,0,Curcumin,8.11,70.88
NE_0415,Castor Oil,Tween 20,14.0,933.4,16.7,1227,1,10.85,0.289,0,Paclitaxel,5.62,70.63
NE_0416,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500,1,9.25,0.222,0,Ibuprofen,31.61,70.92
NE_0417,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500,3,11.38,0.363,0,Ibuprofen,40.65,75.48
NE_0418,Oleic Acid,Tween 20,17.0,282.5,16.7,1227,2,12.8,0.383,0,Curcumin,15.57,76.41
NE_0419,Capryol 90,Labrasol,11.5,172.2,12.0,450,2,9.67,0.364,0,Celecoxib,159.86,83.78
NE_0420,Oleic Acid,Labrasol,17.0,282.5,12.0,450,1,8.5,0.204,0,Curcumin,10.96,85.79
NE_0421,Oleic Acid,Tween 20,17.0,282.5,16.7,1227,1,10.85,0.431,0,Curcumin,12.68,71.88
NE_0422,Castor Oil,Tween 80,14.0,933.4,15.0,1310,1,10.0,0.214,0,Paclitaxel,2.5,83.01
NE_0423,Miglyol 812,Labrasol,15.0,520.0,12.0,450,1,8.5,0.12,0,Ibuprofen,43.12,79.64
NE_0424,Capryol 90,Tween 80,11.5,172.2,15.0,1310,1,10.0,0.103,1,Celecoxib,147.78,96.02
NE_0425,Miglyol 812,Tween 20,15.0,520.0,16.7,1227,1,10.85,0.441,0,Ibuprofen,50.97,70.36
NE_0426,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500,2,10.67,0.279,0,Ibuprofen,51.98,79.03
NE_0427,Miglyol 812,Tween 20,15.0,520.0,16.7,1227,1,10.85,0.247,0,Ibuprofen,44.45,73.22
NE_0428,Oleic Acid,Labrasol,17.0,282.5,12.0,450,2,9.67,0.156,0,Curcumin,14.4,76.32
NE_0429,Oleic Acid,Tween 20,17.0,282.5,16.7,1227,3,13.77,0.283,0,Curcumin,10.1,80.2
NE_0430,Miglyol 812,Tween 20,15.0,520.0,16.7,1227,1,10.85,0.422,0,Ibuprofen,33.87,86.74
NE_0431,Miglyol 812,Tween 20,15.0,520.0,16.7,1227,2,12.8,0.403,0,Ibuprofen,35.71,80.81
NE_0432,Oleic Acid,Cremophor EL,17.0,282.5,13.5,2500,2,10.67,0.197,0,Curcumin,13.9,81.14
NE_0433,Capryol 90,Cremophor EL,11.5,172.2,13.5,2500,3,11.38,0.306,0,Celecoxib,147.75,81.99
NE_0434,Capryol 90,Labrasol,11.5,172.2,12.0,450,2,9.67,0.124,1,Celecoxib,153.89,98.01
NE_0435,Miglyol 812,Tween 20,15.0,520.0,16.7,1227,1,10.85,0.433,0,Ibuprofen,37.72,82.09
NE_0436,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500,3,11.38,0.272,0,Ibuprofen,33.18,82.5
NE_0437,Miglyol 812,Tween 80,15.0,520.0,15.0,1310,3,12.5,0.406,0,Ibuprofen,34.39,72.84
NE_0438,Castor Oil,Labrasol,14.0,933.4,12.0,450,1,8.5,0.302,0,Paclitaxel,2.19,86.63
NE_0439,Miglyol 812,Cremophor EL,15.0,520.0,13.5,2500,1,9.25,0.145,0,Ibuprofen,34.58,75.46
NE_0440,Capryol 90,Cremophor EL,11.5,172.2,13.5,2500,3,11.38,0.125,1,Celecoxib,151.8,94.63
NE_0441,Oleic Acid,Tween 20,17.0,282.5,16.7,1227,2,12.8,0.128,0,Curcumin,13.95,87.82
NE_0442,Castor Oil,Tween 80,14.0,933.4,15.0,1310,3,12.5,0.409,0,Paclitaxel,6.2,80.06
NE_0443,Capryol 90,Cremophor EL,11.5,172.2,13.5,2500,1,9.25,0.222,1,Celecoxib,187.84,98.73
NE_0444,Castor Oil,Cremophor EL,14.0,933.4,13.5,2500,1,9.25,0.223,0,Paclitaxel,4.1,70.55
NE_0445,Capryol 90,Cremophor EL,11.5,172.2,13.5,2500,2,10.67,0.104,1,Celecoxib,188.94,92.1
